network,show,rating,75.9
Netflix,the Thursday murder club,67.3,
Netflix,painkiller,67.0,
Netflix,the swan,67.0,
Netflix,nowhere,67.0,
Netflix,captain laserhawk,66.8,
Netflix,wayward,65.7,
Netflix,my father the btk killer,65.7,
Netflix,interior design masters,65.3,
Netflix,all the light we cannot see,64.7,
Netflix,backstreet girls,64.5,
Netflix,that chrismas,64.3,
Netflix,pangolin kulus journey,63.5,
Netflix,trainwreck mayor of mayhem,63.0,
Netflix,running with the devil,63.0,
Netflix,black knight,62.3,
Netflix,orphan first kill,62.3,
Netflix,tekken bloodline,62.0,
Netflix,whats next future with bill gates,62.0,
Netflix,103 mercies dragon damnation,61.5,
Netflix,the deer king,60.8,
Netflix,leviathan,60.0,
Netflix,tomb raider,59.0,
Netflix,take you pills,58.8,
Netflix,the magicians elephant,58.8,
Netflix,oats studios,58.7,
Netflix,the conference,58.5,
Netflix,my oni girl,58.3,
Netflix,spaceman,57.3,
Netflix,the machine,57.0,
Netflix,like father,55.3,
Netflix,windfall,53.0,
Netflix,you people,50.5,
Netflix,adventures of the super monkey,50.0,
Netflix,spellbound,49.8,
Netflix,farzar,49.7,
Netflix,outside,46.0,
Netflix,the witcher season 4,42.6,
Netflix,polo,36.0,
Netflix,all eyes on him,,
